id	direction	kind	subject	source	terms	cand_n	matched	state	pair	target
f79	forward	behavioural	At the Measured fidelity level, users calibrate or import plans, add dimensions, walls and openings, and define measurable zones so quantities can be derived	canvas§5	measured,zone,quantity,calibration,dimension	120	docs/requirements/Scale calibration.md::Outcome[1]	present	-	-
f80	forward	behavioural	The system must never request precision without explaining the value of that precision	canvas§5	precision,guidance	10	-	absent	-	-
f81	forward	behavioural	When precision is requested, the UI offers estimation-method options (rough estimate, use room area, measure on plan) with an explanation, instead of a bare imperative to calibrate	canvas§6	precision,estimate,calibration	45	-	absent	-	-
f82	forward	behavioural	The initial canvas object vocabulary is deliberately small: Space, Work, Problem, Decision, Photo, Measurement	canvas§7	canvas object,vocabulary,space,work	144	-	absent	-	-
f83	forward	behavioural	Cost begins as a property/refinement of Work rather than a standalone canvas object	canvas§7	cost,work	137	docs/requirements/Cost items and price components.md::Outcome[1]	present	-	-
f84	forward	behavioural	A Space is meaningful physical context, such as a kitchen, bathroom, floor, garden or terrace	canvas§8	space,context	95	docs/entities/Space.md::Body[1]	present	-	-
f85	forward	behavioural	A Space's minimum required attributes are name, type and parent	canvas§8	space,name,type,parent	225	docs/entities/Zone.md::Identity and persistence[1]	present	-	-
f86	forward	behavioural	A Space's optional attributes include geometry, area, dimensions, plan, status and budget	canvas§8	space,geometry,area,dimension,plan,status,budget	218	docs/entities/Zone.md::Identity and persistence[1]	present	-	-
f87	forward	behavioural	A Space can exist without geometry	canvas§8	space,geometry	103	docs/entities/Space.md::Rules[1]	present	-	-
f88	forward	behavioural	Work describes a desired physical change, such as replace flooring, paint walls, move sink, replace windows, remove partition wall	canvas§9	work,physical change	91	docs/entities/Work package.md::Body[1]	present	-	-
f89	forward	behavioural	Work creation is a simple flow: a description of what needs to happen plus an optional cost estimate	canvas§9	work,estimate,creation	102	docs/requirements/Work package creation and scope.md::Body[1]	present	-	-
f90	forward	behavioural	Advanced work information appears only through refinement, not at creation time	canvas§9	work,refinement,progressive disclosure	92	docs/deliverables/Disclosure ladder.md::The ladder[1]	present	-	-
f91	forward	behavioural	Problems are first-class objects because renovation reality frequently diverges from plan	canvas§10	problem,first-class,plan	131	docs/entities/Issue.md::Body[1]	present	-	-
f92	forward	behavioural	The Problem inspector shows status, discovery date, photo count and cost impact, with actions to investigate or create work	canvas§10	problem,inspector,status,impact	172	docs/components/Inspector.md::Anatomy[1]	present	-	-
f93	forward	behavioural	A Problem's lifecycle is Observed, Investigating, Decision Needed, Work Created, Resolved	canvas§10	problem,lifecycle	69	-	absent	-	-
f94	forward	behavioural	A Decision preserves alternatives and rationale, not just the chosen option	canvas§11	decision,alternative,rationale	66	docs/entities/Decision.md::Body[1]	present	-	-
f95	forward	behavioural	The Decision UI presents multiple options each with a cost, marks the selected option, and captures a reason	canvas§11	decision,option,cost,reason	131	docs/entities/Scenario.md::Body[1]	present	-	-
f96	forward	behavioural	A Decision's lifecycle is Open, Evaluating, Decided, Superseded	canvas§11	decision,lifecycle	84	-	absent	-	-
f97	forward	behavioural	A Decision must preserve what was decided, why, the alternatives considered, the impact, and when it was decided	canvas§11	decision,alternative,impact	68	docs/entities/Decision.md::Identity and persistence[1]	present	-	-
f98	forward	behavioural	Photos automatically inherit context: project, space, selected object and date	canvas§12	photo,context,project,space	133	docs/entities/Photo.md::Identity and persistence[1]	present	-	-
f99	forward	behavioural	A Photo has an optional type: Before, During, After, Issue, Hidden Infrastructure, Receipt or Reference	canvas§12	photo,type	217	-	absent	-	-
f100	forward	behavioural	Photos must remain evidence that stays understandable months or years later	canvas§12	photo,evidence	33	docs/entities/Photo.md::Body[2]	present	-	-
f101	forward	behavioural	Measurements are introduced only when needed for a quantity, layout or cost decision, not upfront	canvas§13	measurement,quantity,cost	121	docs/deliverables/Disclosure ladder.md::The ladder[1]	present	-	-
f102	forward	behavioural	The UI must communicate why a measurement matters when requesting it	canvas§13	measurement,guidance	24	-	absent	-	-
f103	forward	behavioural	The Add menu is organized into four categories: Property (Room, Outdoor Area), Renovation (Work, Renovation Zone, Problem, Measurement), Planning (Decision, Photo, Note), Building (Wall, Door, Window)	canvas§14	add menu,category,zone	89	-	absent	-	-
f104	forward	behavioural	Renovation concepts must appear before CAD primitives in the Add menu	canvas§14	add menu,ordering,cad	15	-	absent	-	-
f105	forward	behavioural	When a Room is selected, contextual add offers Work, Problem, Decision, Measurement, Photo	canvas§15	room,contextual add	31	-	absent	-	-
f106	forward	behavioural	When a Wall is selected, contextual add offers Work, Problem, Door, Window, Measurement	canvas§15	wall,contextual add	22	-	absent	-	-
f107	forward	behavioural	When a Work item is selected, contextual add offers Material, Task, Photo, Decision, Problem	canvas§15	work,contextual add,material,task	132	-	absent	-	-
f108	forward	behavioural	When a Problem is selected, contextual add offers Photo, Decision, Work	canvas§15	problem,contextual add	34	-	absent	-	-
f109	forward	behavioural	The default toolbar is kept minimal: floor selector, + Add, Select, Measure, and an overflow menu	canvas§16	toolbar,minimal	8	docs/components/Toolbar.md::Anatomy[1]	present	-	-
f110	forward	behavioural	The toolbar must avoid a CAD-style icon wall	canvas§16	toolbar,cad,icon	12	-	absent	-	-
f111	forward	behavioural	Selecting an object triggers, in order: highlight on canvas, synchronize property tree, update inspector, update contextual actions	canvas§17	selection,highlight,inspector,contextual action	29	-	absent	-	-
f112	forward	behavioural	Single primary selection is sufficient initially; multi-select is not required	canvas§17	selection,multi-select	19	docs/requirements/Selection.md::Body[1]	present	-	-
f113	forward	behavioural	The Space inspector shows planning percentage, budget, work count, problem count, decision count and a next-step prompt with a continue action	canvas§18	space,inspector,planning,budget	129	-	absent	-	-
f114	forward	behavioural	The Work inspector shows estimate, status, space and a refine-estimate action	canvas§18	work,inspector,estimate,status	196	docs/entities/Work package.md::Body[1]	present	-	-
f115	forward	behavioural	The Problem inspector shows status, photo count, cost impact and a create-work action	canvas§18	problem,inspector,status,impact	172	docs/components/Inspector.md::Anatomy[1]	present	-	-
f116	forward	behavioural	The inspector's interaction pattern remains stable while its content changes across object types	canvas§18	inspector,interaction pattern	17	docs/components/Inspector.md::Where it appears[1]	present	-	-
f117	forward	behavioural	Every major canvas object follows a Simple, Structured, Detailed refinement progression	canvas§19	object,refinement,progression	66	docs/deliverables/Disclosure ladder.md::The ladder[1]	present	-	-
f118	forward	behavioural	At the Detailed refinement stage, a Work item includes measured area, waste percentage, required quantity, a materials/labor breakdown, a sequencing dependency, and a computed estimate	canvas§19	work,area,waste,quantity,estimate,sequencing	150	docs/business-rules/Waste multiplies the required quantity and stays a separate factor.md::Rule[1]	present	-	-
f119	forward	behavioural	A zone connects geometry to renovation intent	canvas§20	zone,geometry,intent	94	docs/entities/Zone.md::Body[1]	present	-	-
f120	forward	behavioural	A zone has a measured area attribute	canvas§20	zone,area	110	docs/entities/Zone.md::Body[1]	present	-	-
f121	forward	behavioural	A zone references the Work item it supports	canvas§20	zone,work	125	docs/entities/Work package.md::Relationships[1]	present	-	-
f122	forward	behavioural	A zone has a required-quantity attribute that includes a waste allowance	canvas§20	zone,quantity,waste	104	docs/entities/Requirement.md::Body[3]	present	-	-
f123	forward	behavioural	A zone has an estimate (cost) attribute	canvas§20	zone,estimate,cost	135	docs/business-rules/A cost rollup is derived along its axis, never stored.md::Rule[1]	present	-	-
f124	forward	behavioural	Zones remain optional; simple work does not require a zone	canvas§20	zone,work,optional	130	docs/business-rules/A requirement names what it is required for.md::Rule[1]	present	-	-
f125	forward	behavioural	Semantic layers (Property, Renovation, Work, Problems, Decisions, Materials, Costs, Schedule, Photos) let a user toggle what aspect of the renovation is shown; Property, Renovation, Work, Problems and Decisions are on by default while Materials, Costs, Schedule and Photos are off by default	canvas§21	layer,toggle,default	85	docs/entities/Layer.md::Body[1]	present	-	-
f126	forward	behavioural	Layers answer what aspect of the renovation the user wants to understand	canvas§21	layer	68	docs/requirements/Layers.md::Body[1]	present	-	-
f127	forward	behavioural	The Cost View is a spatial cost overlay showing a total cost per space	canvas§22	cost view,space,cost	140	docs/business-rules/A cost rollup is derived along its axis, never stored.md::Rule[1]	present	-	-
f128	forward	behavioural	The Cost View will later support estimated/committed/actual/variance breakdowns	canvas§22	cost view,estimated,committed,actual,variance	55	docs/business-rules/Each cost type has exactly one source of record.md::Rule[1]	present	-	-
f129	forward	behavioural	The Cost View should prefer readable values before heatmaps	canvas§22	cost view,heatmap,readability	23	-	absent	-	-
f130	forward	behavioural	The Progress View shows a percentage-complete value per space	canvas§23	progress view,space,percentage	98	-	absent	-	-
f131	forward	behavioural	Progress must derive from explicit work state, not be set manually	canvas§23	progress,work state	61	docs/entities/Work package.md::Rules[1]	present	-	-
f132	forward	behavioural	The Problem View lists open problems and is especially useful during execution	canvas§24	problem view,execution	12	docs/requirements/Issues.md::Outcome[1]	present	-	-
f133	forward	behavioural	The Phase/Schedule View lays out phases (Existing, Demolition, Rough-in, Build, Finish, Complete) with a marker for the current phase	canvas§25	phase,schedule	36	-	absent	-	-
f134	forward	behavioural	The Phase/Schedule View creates a Space x Time perspective	canvas§25	phase,schedule,space,time	128	docs/requirements/Trade and section timelines.md::Body[1]	present	-	-
f135	forward	behavioural	The long-term model is Existing -> Planned -> Actual, where Existing is the current property, Planned is the intended renovation, and Actual is what was built	canvas§26	existing,planned,actual	52	docs/requirements/Existing state, planned change and as-built.md::Body[1]	present	-	-
f136	forward	behavioural	Full three-state Existing/Planned/Actual modeling is not required in the first prototype	canvas§26	existing,planned,actual,prototype	53	docs/requirements/Existing state, planned change and as-built.md::frontmatter[1]	present	-	-
f137	forward	behavioural	The success criterion for onboarding is a useful renovation model within ten minutes	canvas§27	onboarding,ten minutes	9	docs/requirements/Onboarding and example project.md::Body[1]	present	-	-
f138	forward	behavioural	No accurate plan is required to build a useful renovation model	canvas§27	plan,accuracy	122	docs/entities/Space.md::Rules[1]	present	-	-
f139	forward	behavioural	Onboarding without a plan starts by prompting the user to add the rooms/areas they want to renovate, noting the layout can be made more accurate later, with an option to import a plan instead	canvas§28	onboarding,plan,room	128	docs/requirements/Onboarding and example project.md::Body[1]	present	-	-
f140	forward	behavioural	After adding the first space, onboarding confirms the property is ready and prompts the user to select a room and add what they want to change	canvas§28	onboarding,space,room	92	-	absent	-	-
f141	forward	behavioural	Onboarding teaches through doing rather than through explanation	canvas§28	onboarding,teach	8	docs/requirements/Onboarding and example project.md::Body[1]	present	-	-
f142	forward	behavioural	Guidance is contextual and deterministic	canvas§29	guidance,deterministic	1	-	absent	-	-
f143	forward	behavioural	Guidance explains the value of an action rather than demanding completeness	canvas§29	guidance,value	56	-	absent	-	-
f144	forward	behavioural	The command palette exposes the same domain actions as the canvas UI	canvas§30	command palette,domain action	12	docs/deliverables/Sitemap.md::Entry points[1]	present	-	-
f145	forward	behavioural	Visual UI and commands must invoke the same underlying application actions	canvas§30	command,ui,action,consistency	40	docs/deliverables/Sitemap.md::Entry points[1]	present	-	-
f146	forward	behavioural	All controls must be keyboard-reachable	canvas§31	keyboard,control	25	docs/requirements/Accessibility.md::Body[1]	present	-	-
f147	forward	behavioural	Focus must be visible	canvas§31	focus,visible	32	docs/requirements/Accessibility.md::Body[1]	present	-	-
f148	forward	behavioural	Escape cancels transient operations	canvas§31	escape,cancel	5	docs/components/Modal.md::Contract[1]	present	-	-
f149	forward	behavioural	Delete acts only with safe semantics	canvas§31	delete,safe	14	docs/business-rules/A delete reports what references it and offers four choices.md::Rule[1]	present	-	-
f150	forward	behavioural	Icons must have accessible labels	canvas§31	icon,accessible label	8	docs/components/Tool button.md::Anatomy[1]	present	-	-
f151	forward	behavioural	No state may be conveyed only by color	canvas§31	color,state	92	docs/requirements/State visualization.md::Body[1]	present	-	-
f152	forward	behavioural	The canvas must be compatible with Obsidian's theme	canvas§31	theme,obsidian	85	docs/components/View shell.md::Contract[1]	present	-	-
f153	forward	behavioural	Zoom/pan must not trap keyboard users	canvas§31	zoom,pan,keyboard trap	12	docs/requirements/Canvas navigation.md::Body[1]	present	-	-
f154	forward	behavioural	When there is no property, the empty state prompts the user to start with their property, offering Add Space or Import Plan	canvas§32	empty state,property,space,plan	163	docs/components/Empty state.md::States[1]	present	-	-
f155	forward	behavioural	When a space has no work, the empty state says nothing is planned for it yet and offers Add Work	canvas§32	empty state,space,work	141	docs/components/Empty state.md::States[1]	present	-	-
f156	forward	behavioural	When work is measured but has no material, the empty state shows the measured area and offers Add Material to refine the estimate	canvas§32	empty state,work,material,estimate	135	docs/components/Empty state.md::States[1]	present	-	-
f157	forward	behavioural	The system must never destroy context on error	canvas§33	error,context	45	docs/requirements/Start a renovation project.md::Guarantee[1]	present	-	-
f158	forward	behavioural	On plan import failure, the UI states the project has not been changed and offers Try Again, Choose Another File, or Continue Without Plan	canvas§33	plan,import,error,recovery	140	docs/requirements/Start a renovation project.md::Guarantee[1]	present	-	-
f159	forward	behavioural	An invalid or restored selection falls back through the hierarchy Object, Space, Floor, Project	canvas§33	selection,fallback,hierarchy	34	-	absent	-	-
f160	forward	behavioural	The next prototype validates only Space, Work, Problem, Decision, Photo and Cost	canvas§34	prototype,scope	23	-	absent	-	-
f161	forward	behavioural	The required prototype scenario is: create/select Kitchen, add Replace Floor, estimate 2500 euro, add Damp Wall, attach photo, create a Repair-or-Replace decision, navigate between objects via canvas/tree/inspector, and leave and restore context	canvas§34	prototype,scenario	18	-	absent	-	-
f162	forward	behavioural	The prototype must not yet expose assemblies, cost codes, advanced work packages, complex dependencies, resource leveling, BIM terminology, detailed CAD layers, or 3D rendering	canvas§34	prototype,assembly,cost code,work package,dependency,resource leveling,bim,cad	72	-	absent	-	-
f163	forward	behavioural	The concept is validated when a user can start without a floor plan	canvas§36	floor plan,start	141	docs/entities/Space.md::Rules[1]	present	-	-
f164	forward	behavioural	The concept is validated when a user can understand the property hierarchy	canvas§36	property,hierarchy	50	docs/entities/Site.md::Body[1]	present	-	-
f165	forward	behavioural	The concept is validated when a user can select a room as working context	canvas§36	room,context	49	docs/entities/Space.md::Body[1]	present	-	-
f166	forward	behavioural	The concept is validated when a user can create work without learning advanced construction concepts	canvas§36	work,construction	104	docs/requirements/Work package creation and scope.md::Outcome[1]	present	-	-
f167	forward	behavioural	The concept is validated when a user can attach a rough cost	canvas§36	cost,estimate	101	docs/requirements/Cost items and price components.md::Outcome[1]	present	-	-
f168	forward	behavioural	The concept is validated when a user can capture a real-world problem	canvas§36	problem	34	docs/entities/Issue.md::Body[1]	present	-	-
f169	forward	behavioural	The concept is validated when a user can attach evidence in context	canvas§36	evidence,context	43	docs/requirements/Documents, photos and evidence.md::Body[1]	present	-	-
f170	forward	behavioural	The concept is validated when a user can record a decision	canvas§36	decision	58	docs/entities/Decision.md::Body[1]	present	-	-
f171	forward	behavioural	The concept is validated when a user can understand what to do next	canvas§36	guidance,next	21	docs/deliverables/Disclosure ladder.md::The ladder[1]	present	-	-
f172	forward	behavioural	The concept is validated when a user can progressively add precision	canvas§36	precision,progressive	14	docs/deliverables/Disclosure ladder.md::The ladder[1]	present	-	-
f173	forward	behavioural	The concept is validated when a user can return later and reconstruct what happened	canvas§36	history,reconstruct	14	docs/requirements/Change history.md::Outcome[1]	present	-	-
f174	forward	behavioural	Design guardrail: renovation before CAD	canvas§37	renovation,cad	110	docs/entities/Zone.md::Body[1]	present	-	-
f175	forward	behavioural	Design guardrail: intent before precision	canvas§37	intent,precision	14	-	absent	-	-
f176	forward	behavioural	Design guardrail: context before configuration	canvas§37	context,configuration	25	-	absent	-	-
f177	forward	behavioural	Design guardrail: simple before detailed	canvas§37	simple,detailed	2	-	absent	-	-
f178	forward	behavioural	Design guardrail: reality may diverge from plan	canvas§37	reality,plan	122	docs/requirements/Progress and site documentation.md::Body[1]	present	-	-
f179	forward	behavioural	Design guardrail: problems and decisions are first-class	canvas§37	problem,decision,first-class	76	docs/entities/Issue.md::Body[1]	present	-	-
f180	forward	behavioural	Design guardrail: evidence belongs where it happened	canvas§37	evidence,location	29	docs/requirements/Spatial photo references.md::Body[1]	present	-	-
f181	forward	behavioural	Design guardrail: the canvas visualizes the project, it does not replace the project model	canvas§37	canvas,project model	64	docs/adrs/0006-plain-typescript-domain.md::Decision[1]	present	-	-
f182	forward	behavioural	Design guardrail: open data remains more important than editor lock-in	canvas§37	open data,lock-in	20	docs/actors/The vault.md::Body[2]	present	-	-
f183	forward	behavioural	Design guardrail: every added control must help a real renovation decision or action	canvas§37	control,decision,action	69	-	absent	-	-
f184	forward	behavioural	The interaction promise is that the user always knows where they are, what is changing, what is known, what is unresolved, what it costs, what happened, and what to do next	canvas§38	interaction promise,awareness	0	-	absent	-	-
f185	forward	named	View shell	gallery§ViewShell	view,shell	-	docs/components/View shell.md	present	-	components
f186	forward	named	Tool button	gallery§ToolButton	tool,button	-	docs/components/Tool button.md	present	-	components
f187	forward	named	Toolbar	gallery§Toolbar	toolbar	-	docs/components/Toolbar.md	present	-	components
f188	forward	named	Status bar	gallery§StatusBar	status,bar	-	docs/components/Status bar.md	present	-	components
f189	forward	named	Save-state indicator	gallery§SaveStateIndicator	save,state,indicator	-	docs/components/Save-state indicator.md	present	-	components
f190	forward	named	Left rail	gallery§LeftRail	left,rail	-	docs/components/Left rail.md	present	-	components
f191	forward	named	Layer toggle	gallery§LayerToggle	layer,toggle	-	docs/components/Layer toggle.md	present	-	components
f192	forward	named	Inspector	gallery§Inspector	inspector	-	docs/components/Inspector.md	present	-	components
f193	forward	named	Plan canvas	gallery§PlanCanvas	plan,canvas	-	docs/components/Plan canvas.md	present	-	components
f194	forward	named	Selection handle	gallery§SelectionHandle	selection,handle	-	docs/components/Selection handle.md	present	-	components
f195	forward	named	Snap guide	gallery§SnapGuide	snap,guide	-	docs/components/Snap guide.md	present	-	components
f196	forward	named	Measurement label	gallery§MeasurementLabel	measurement,label	-	docs/components/Measurement label.md	present	-	components
f197	forward	named	Empty state	gallery§EmptyState	empty,state	-	docs/components/Empty state.md	present	-	components
f198	forward	named	Inline field error	gallery§InlineFieldError	inline,field,error	-	docs/components/Inline field error.md	present	-	components
f199	forward	named	Status badge	gallery§StatusBadge	status,badge	-	docs/components/Status badge.md	present	-	components
f200	forward	named	Toast	gallery§Toast	toast	-	docs/components/Toast.md	present	-	components
f201	forward	named	Modal	gallery§Modal	modal	-	docs/components/Modal.md	present	-	components
f202	forward	behavioural	View shell is given only the leaf, and nothing else	gallery§ViewShell	view,shell	55	docs/components/View shell.md::Contract[1]	present	-	-
f203	forward	behavioural	View shell emits nothing	gallery§ViewShell	view,shell	55	docs/components/View shell.md::Contract[2]	present	-	-
f204	forward	behavioural	View shell must own its own height, or it collapses to a sliver of the pane	gallery§ViewShell	view,shell,height	56	docs/components/View shell.md::Contract[3]	present	-	-
f205	forward	behavioural	Tool button is given a tool id, icon, label, and whether it is active	gallery§ToolButton	tool,button	33	docs/components/Tool button.md::Contract[1]	present	-	-
f206	forward	behavioural	Tool button emits an activation request for its own tool id	gallery§ToolButton	tool,button	33	docs/components/Tool button.md::Contract[2]	present	-	-
