finding_id	kind	standing_evidence	standing_derived	evidence_cite	derived_cite	rows	remedy
c38	Contradiction	received	derived	prd§6.3 Secondary Persona — Professional Planner	docs/actors/Professional planner.md::Summary[1]	r1335	none
c39	Contradiction	received	derived	prd§6.3 Secondary Persona — Professional Planner	docs/actors/Professional planner.md::What the plugin owes it today[1]	r1341	none
c40	Contradiction	undetermined	derived	prototype§2 Golden Path	docs/deliverables/Disclosure ladder.md::The ladder[1]	r1408	none
c41	Contradiction	undetermined	derived	prototype§6 Canonical Fixture	docs/deliverables/Disclosure ladder.md::The ladder[2]	r1409	none
c42	Contradiction	undetermined	derived	uxd§22 Progressive Disclosure Model	docs/deliverables/Disclosure ladder.md::The ladder[3]	r1410	none
c43	Contradiction	undetermined	derived	prototype§9 Interaction Contracts	docs/deliverables/Disclosure ladder.md::The home surface, and IA's first open question answered[2]	r1419	none
c44	Contradiction	undetermined	derived	canvas§10 Problem	docs/deliverables/Information Architecture.md::The grouping[6]	r1433	none
c45	Contradiction	undetermined	derived	prototype§9 Interaction Contracts	docs/deliverables/Information Architecture.md::Answered since, and by whom[1]	r1442	none
c46	Contradiction	undetermined	derived	uxd§5 Experience Architecture	docs/deliverables/Sitemap.md::The inventory[14]	r1463	none
c48	Contradiction	received	derived	prd§9 (Project Lifecycle)	docs/requirements/Start a renovation project.md::Assumptions[4]	r1668	none
g1	Gap	undetermined	n/a	canvas§1	-	f1a	none
g2	Gap	undetermined	n/a	canvas§1	-	f1b	none
g3	Gap	undetermined	n/a	canvas§3	-	f2	none
g4	Gap	undetermined	n/a	canvas§4	-	f5	none
g5	Gap	undetermined	n/a	canvas§5	-	f6	none
g6	Gap	undetermined	n/a	canvas§5	-	f7	none
g7	Gap	undetermined	n/a	canvas§5	-	f8	none
g8	Gap	undetermined	n/a	canvas§5	-	f9	none
g9	Gap	undetermined	n/a	canvas§6	-	f10	none
g10	Gap	undetermined	n/a	canvas§7	-	f12	none
g11	Gap	undetermined	n/a	canvas§7	-	f16	none
g12	Gap	undetermined	n/a	canvas§14	-	f22	none
g13	Gap	undetermined	n/a	canvas§14	-	f26	none
g14	Gap	undetermined	n/a	canvas§14	-	f27	none
g15	Gap	undetermined	n/a	canvas§14	-	f28	none
g16	Gap	undetermined	n/a	canvas§14	-	f29	none
g17	Gap	undetermined	n/a	canvas§16	-	f32	none
g18	Gap	undetermined	n/a	canvas§16	-	f33	none
g19	Gap	undetermined	n/a	canvas§16	-	f34	none
g20	Gap	undetermined	n/a	canvas§17	-	f35	none
g21	Gap	undetermined	n/a	canvas§19	-	f36	none
g22	Gap	undetermined	n/a	canvas§21	-	f38	none
g23	Gap	undetermined	n/a	canvas§21	-	f40	none
g24	Gap	undetermined	n/a	canvas§21	-	f41	none
g25	Gap	undetermined	n/a	canvas§21	-	f42	none
g26	Gap	undetermined	n/a	canvas§21	-	f44	none
g27	Gap	undetermined	n/a	canvas§21	-	f45	none
g28	Gap	undetermined	n/a	canvas§21	-	f46	none
g29	Gap	undetermined	n/a	canvas§22	-	f48a	none
g30	Gap	undetermined	n/a	canvas§22	-	f48b	none
g31	Gap	undetermined	n/a	canvas§23	-	f49a	none
g32	Gap	undetermined	n/a	canvas§23	-	f49b	none
g33	Gap	undetermined	n/a	canvas§24	-	f50a	none
g34	Gap	undetermined	n/a	canvas§24	-	f50b	none
g35	Gap	undetermined	n/a	canvas§25	-	f51a	none
g36	Gap	undetermined	n/a	canvas§25	-	f51b	none
g37	Gap	undetermined	n/a	canvas§25	-	f52	none
g38	Gap	undetermined	n/a	canvas§25	-	f53	none
g39	Gap	undetermined	n/a	canvas§25	-	f54	none
g40	Gap	undetermined	n/a	canvas§25	-	f55	none
g41	Gap	undetermined	n/a	canvas§25	-	f56	none
g42	Gap	undetermined	n/a	canvas§25	-	f57	none
g43	Gap	undetermined	n/a	canvas§26	-	f58	none
g44	Gap	undetermined	n/a	canvas§26	-	f59	none
g45	Gap	undetermined	n/a	canvas§26	-	f60	none
g46	Gap	undetermined	n/a	canvas§29	-	f61	none
g47	Gap	undetermined	n/a	canvas§30	-	f62a	none
g48	Gap	undetermined	n/a	canvas§30	-	f62b	none
g49	Gap	undetermined	n/a	canvas§30	-	f63a	none
g50	Gap	undetermined	n/a	canvas§30	-	f63b	none
g51	Gap	undetermined	n/a	canvas§30	-	f64a	none
g52	Gap	undetermined	n/a	canvas§30	-	f64b	none
g53	Gap	undetermined	n/a	canvas§30	-	f65a	none
g54	Gap	undetermined	n/a	canvas§30	-	f65b	none
g55	Gap	undetermined	n/a	canvas§30	-	f66a	none
g56	Gap	undetermined	n/a	canvas§30	-	f66b	none
g57	Gap	undetermined	n/a	canvas§30	-	f67a	none
g58	Gap	undetermined	n/a	canvas§30	-	f67b	none
g59	Gap	undetermined	n/a	canvas§30	-	f68a	none
g60	Gap	undetermined	n/a	canvas§30	-	f68b	none
g61	Gap	undetermined	n/a	canvas§30	-	f69a	none
g62	Gap	undetermined	n/a	canvas§30	-	f69b	none
g63	Gap	undetermined	n/a	canvas§1	-	f72	none
g64	Gap	undetermined	n/a	canvas§4	-	f75	none
g65	Gap	undetermined	n/a	canvas§4	-	f76	none
g66	Gap	undetermined	n/a	canvas§5	-	f80	none
g67	Gap	undetermined	n/a	canvas§6	-	f81	none
g68	Gap	undetermined	n/a	canvas§7	-	f82	none
g69	Gap	undetermined	n/a	canvas§10	-	f93	none
g70	Gap	undetermined	n/a	canvas§11	-	f96	none
g71	Gap	undetermined	n/a	canvas§12	-	f99	none
g72	Gap	undetermined	n/a	canvas§13	-	f102	none
g73	Gap	undetermined	n/a	canvas§14	-	f103	none
g74	Gap	undetermined	n/a	canvas§14	-	f104	none
g75	Gap	undetermined	n/a	canvas§15	-	f105	none
g76	Gap	undetermined	n/a	canvas§15	-	f106	none
g77	Gap	undetermined	n/a	canvas§15	-	f107	none
g78	Gap	undetermined	n/a	canvas§15	-	f108	none
g79	Gap	undetermined	n/a	canvas§16	-	f110	none
g80	Gap	undetermined	n/a	canvas§17	-	f111	none
g81	Gap	undetermined	n/a	canvas§18	-	f113	none
g82	Gap	undetermined	n/a	canvas§22	-	f129	none
g83	Gap	undetermined	n/a	canvas§23	-	f130	none
g84	Gap	undetermined	n/a	canvas§25	-	f133	none
g85	Gap	undetermined	n/a	canvas§28	-	f140	none
g86	Gap	undetermined	n/a	canvas§29	-	f142	none
g87	Gap	undetermined	n/a	canvas§29	-	f143	none
g88	Gap	undetermined	n/a	canvas§33	-	f159	none
g89	Gap	undetermined	n/a	canvas§34	-	f160	none
g90	Gap	undetermined	n/a	canvas§34	-	f161	none
g91	Gap	undetermined	n/a	canvas§34	-	f162	none
g92	Gap	undetermined	n/a	canvas§37	-	f175	none
g93	Gap	undetermined	n/a	canvas§37	-	f176	none
g94	Gap	undetermined	n/a	canvas§37	-	f177	none
g95	Gap	undetermined	n/a	canvas§37	-	f183	none
g96	Gap	undetermined	n/a	canvas§38	-	f184	none
g97	Gap	undetermined	n/a	gallery§SnapGuide	-	f228	none
g98	Gap	undetermined	n/a	gallery§MeasurementLabel	-	f231	none
g99	Gap	undetermined	n/a	jtbd§JTBD-002	-	f250	none
g100	Gap	undetermined	n/a	jtbd§JTBD-003	-	f251	none
g101	Gap	undetermined	n/a	jtbd§JTBD-012	-	f260	none
g102	Gap	undetermined	n/a	jtbd§JTBD-015	-	f263	none
g103	Gap	undetermined	n/a	jtbd§JTBD-018	-	f266	none
g104	Gap	undetermined	n/a	jtbd§JTBD-022	-	f270	none
g105	Gap	undetermined	n/a	jtbd§JTBD-023	-	f271	none
g106	Gap	undetermined	n/a	jtbd§JTBD-031	-	f279	none
g107	Gap	undetermined	n/a	jtbd§JTBD-032	-	f280	none
g108	Gap	undetermined	n/a	jtbd§JTBD-033	-	f281	none
g109	Gap	undetermined	n/a	jtbd§JTBD-036	-	f284	none
g110	Gap	undetermined	n/a	jtbd§JTBD-043	-	f291	none
g111	Gap	undetermined	n/a	jtbd§JTBD-047	-	f295	none
g112	Gap	undetermined	n/a	jtbd§JTBD-048	-	f296	none
g113	Gap	undetermined	n/a	jtbd§JTBD-051	-	f299	none
g114	Gap	undetermined	n/a	jtbd§JTBD-052	-	f300	none
g115	Gap	undetermined	n/a	jtbd§JTBD-053	-	f301	none
g116	Gap	undetermined	n/a	jtbd§JTBD-054	-	f302	none
g117	Gap	undetermined	n/a	jtbd§JTBD-055	-	f303	none
g118	Gap	undetermined	n/a	jtbd§JTBD-057	-	f305	none
g119	Gap	undetermined	n/a	jtbd§JTBD-062	-	f310	none
g120	Gap	undetermined	n/a	jtbd§JTBD-063	-	f311	none
g121	Gap	undetermined	n/a	jtbd§how-to-use	-	f312	none
g122	Gap	undetermined	n/a	jtbd§research-evidence-standard	-	f313	none
g123	Gap	undetermined	n/a	jtbd§research-evidence-standard	-	f314	none
g124	Gap	undetermined	n/a	jtbd§research-evidence-standard	-	f315	none
g125	Gap	undetermined	n/a	jtbd§research-evidence-standard	-	f316	none
g126	Gap	undetermined	n/a	jtbd§research-evidence-standard	-	f317	none
g127	Gap	undetermined	n/a	jtbd§research-evidence-standard	-	f318	none
g128	Gap	undetermined	n/a	jtbd§important-product-research-principle	-	f319	none
g129	Gap	undetermined	n/a	jtbd§landscape	-	f320	none
g130	Gap	undetermined	n/a	jtbd§tier-1	-	f321a	none
g131	Gap	undetermined	n/a	jtbd§tier-1	-	f321b	none
g132	Gap	undetermined	n/a	jtbd§important-product-research-principle	-	f322	none
g133	Gap	undetermined	n/a	jtbd§how-to-use	-	f323	none
g138	Gap	undetermined	n/a	jtbd§JTBD-054	-	f333	none
g139	Gap	undetermined	n/a	jtbd§JTBD-061	-	f334	none
g140	Gap	undetermined	n/a	jtbd§JTBD-044	-	f336	none
g141	Gap	undetermined	n/a	jtbd§JTBD-050	-	f337	none
g142	Gap	undetermined	n/a	jtbd§landscape	-	f339	none
g143	Gap	undetermined	n/a	jtbd§JTBD-028	-	f344	none
g144	Gap	undetermined	n/a	jtbd§JTBD-023	-	f345	none
g145	Gap	undetermined	n/a	jtbd§JTBD-043	-	f346	none
g146	Gap	received	n/a	prd§8	-	f350a	backlog gains a note
g147	Gap	received	n/a	prd§8	-	f350b	backlog gains a note
g148	Gap	received	n/a	prd§8	-	f351a	backlog gains a note
g149	Gap	received	n/a	prd§8	-	f351b	backlog gains a note
g150	Gap	received	n/a	prd§8	-	f352a	backlog gains a note
g151	Gap	received	n/a	prd§8	-	f352b	backlog gains a note
g152	Gap	received	n/a	prd§8	-	f353a	backlog gains a note
g153	Gap	received	n/a	prd§8	-	f353b	backlog gains a note
g154	Gap	received	n/a	prd§8	-	f354a	backlog gains a note
g156	Gap	received	n/a	prd§8	-	f355a	backlog gains a note
g159	Gap	received	n/a	prd§8	-	f357a	backlog gains a note
g160	Gap	received	n/a	prd§8	-	f357b	backlog gains a note
g161	Gap	received	n/a	prd§9	-	f358	backlog gains a note
g162	Gap	received	n/a	prd§9	-	f359	backlog gains a note
g163	Gap	received	n/a	prd§9	-	f360	backlog gains a note
g164	Gap	received	n/a	prd§9	-	f361	backlog gains a note
g165	Gap	received	n/a	prd§9	-	f362	backlog gains a note
g166	Gap	received	n/a	prd§9	-	f363	backlog gains a note
g167	Gap	received	n/a	prd§9	-	f364	backlog gains a note
g168	Gap	received	n/a	prd§10	-	f365a	backlog gains a note
g169	Gap	received	n/a	prd§10	-	f365b	backlog gains a note
g170	Gap	received	n/a	prd§11	-	f366a	backlog gains a note
g171	Gap	received	n/a	prd§11	-	f366b	backlog gains a note
g172	Gap	received	n/a	prd§11	-	f367	backlog gains a note
g173	Gap	received	n/a	prd§11	-	f368	backlog gains a note
g174	Gap	received	n/a	prd§11	-	f369	backlog gains a note
g175	Gap	received	n/a	prd§11	-	f370	backlog gains a note
g176	Gap	received	n/a	prd§11	-	f371	backlog gains a note
g177	Gap	received	n/a	prd§11	-	f372	backlog gains a note
g178	Gap	received	n/a	prd§11	-	f373	backlog gains a note
g179	Gap	received	n/a	prd§11	-	f374	backlog gains a note
g180	Gap	received	n/a	prd§11	-	f375	backlog gains a note
g181	Gap	received	n/a	prd§12	-	f376a	backlog gains a note
g182	Gap	received	n/a	prd§12	-	f377	backlog gains a note
g183	Gap	received	n/a	prd§12	-	f378	backlog gains a note
g184	Gap	received	n/a	prd§12	-	f379	backlog gains a note
g185	Gap	received	n/a	prd§12	-	f380	backlog gains a note
g186	Gap	received	n/a	prd§12	-	f381	backlog gains a note
g187	Gap	received	n/a	prd§13	-	f382	backlog gains a note
g188	Gap	received	n/a	prd§13	-	f383	backlog gains a note
g189	Gap	received	n/a	prd§13	-	f384	backlog gains a note
g190	Gap	received	n/a	prd§13	-	f385	backlog gains a note
g191	Gap	received	n/a	prd§14	-	f386a	backlog gains a note
g192	Gap	received	n/a	prd§14	-	f386b	backlog gains a note
g193	Gap	received	n/a	prd§14	-	f387a	backlog gains a note
g194	Gap	received	n/a	prd§14	-	f387b	backlog gains a note
g195	Gap	received	n/a	prd§14	-	f388	backlog gains a note
g196	Gap	received	n/a	prd§15	-	f389	backlog gains a note
g197	Gap	received	n/a	prd§15	-	f390	backlog gains a note
g198	Gap	received	n/a	prd§15	-	f391	backlog gains a note
g199	Gap	received	n/a	prd§15	-	f392	backlog gains a note
g200	Gap	received	n/a	prd§16	-	f393	backlog gains a note
g201	Gap	received	n/a	prd§16	-	f394	backlog gains a note
g202	Gap	received	n/a	prd§16	-	f395	backlog gains a note
g203	Gap	received	n/a	prd§16	-	f396	backlog gains a note
g204	Gap	received	n/a	prd§17	-	f397	backlog gains a note
g205	Gap	received	n/a	prd§17	-	f398	backlog gains a note
g206	Gap	received	n/a	prd§17	-	f399	backlog gains a note
g207	Gap	received	n/a	prd§17	-	f400	backlog gains a note
g208	Gap	received	n/a	prd§18	-	f401a	backlog gains a note
g209	Gap	received	n/a	prd§18	-	f401b	backlog gains a note
g210	Gap	received	n/a	prd§18	-	f402	backlog gains a note
g211	Gap	received	n/a	prd§18	-	f403	backlog gains a note
g212	Gap	received	n/a	prd§19	-	f404a	backlog gains a note
g214	Gap	received	n/a	prd§22	-	f405	backlog gains a note
g215	Gap	received	n/a	prd§22	-	f406	backlog gains a note
g216	Gap	received	n/a	prd§23	-	f407a	backlog gains a note
g217	Gap	received	n/a	prd§23	-	f407b	backlog gains a note
g218	Gap	received	n/a	prd§23	-	f408a	backlog gains a note
g219	Gap	received	n/a	prd§23	-	f408b	backlog gains a note
g220	Gap	received	n/a	prd§23	-	f409a	backlog gains a note
g221	Gap	received	n/a	prd§23	-	f409b	backlog gains a note
g222	Gap	received	n/a	prd§23	-	f410a	backlog gains a note
g223	Gap	received	n/a	prd§23	-	f410b	backlog gains a note
g224	Gap	received	n/a	prd§23	-	f411	backlog gains a note
g225	Gap	received	n/a	prd§24	-	f412	backlog gains a note
g226	Gap	received	n/a	prd§24	-	f413	backlog gains a note
g227	Gap	received	n/a	prd§24	-	f414	backlog gains a note
g228	Gap	received	n/a	prd§24	-	f415	backlog gains a note
g229	Gap	received	n/a	prd§33	-	f416a	backlog gains a note
g230	Gap	received	n/a	prd§33	-	f416b	backlog gains a note
g231	Gap	received	n/a	prd§35	-	f417	backlog gains a note
g232	Gap	received	n/a	prd§35	-	f418	backlog gains a note
g233	Gap	received	n/a	prd§35	-	f419	backlog gains a note
g234	Gap	received	n/a	prd§35	-	f420	backlog gains a note
g235	Gap	received	n/a	prd§35	-	f421	backlog gains a note
g236	Gap	received	n/a	prd§35	-	f422	backlog gains a note
g237	Gap	received	n/a	prd§35	-	f423	backlog gains a note
g238	Gap	received	n/a	prd§36	-	f424	backlog gains a note
g239	Gap	received	n/a	prd§36	-	f425	backlog gains a note
g240	Gap	received	n/a	prd§36	-	f426	backlog gains a note
g241	Gap	received	n/a	prd§36	-	f427	backlog gains a note
g242	Gap	received	n/a	prd§36	-	f428	backlog gains a note
g243	Gap	received	n/a	prd§21	-	f438	backlog gains a note
g244	Gap	received	n/a	prd§21	-	f440	backlog gains a note
g245	Gap	received	n/a	prd§21	-	f444	backlog gains a note
g246	Gap	received	n/a	prd§1	-	f449	backlog gains a note
g247	Gap	received	n/a	prd§1	-	f451	backlog gains a note
g248	Gap	received	n/a	prd§1	-	f453	backlog gains a note
g249	Gap	received	n/a	prd§1	-	f456	backlog gains a note
g250	Gap	received	n/a	prd§3	-	f458	backlog gains a note
g251	Gap	received	n/a	prd§3	-	f459	backlog gains a note
g252	Gap	received	n/a	prd§3	-	f461	backlog gains a note
g253	Gap	received	n/a	prd§4	-	f468	backlog gains a note
g254	Gap	received	n/a	prd§4	-	f469	backlog gains a note
g255	Gap	received	n/a	prd§4	-	f470	backlog gains a note
g256	Gap	received	n/a	prd§4	-	f471	backlog gains a note
g257	Gap	received	n/a	prd§4	-	f473	backlog gains a note
g258	Gap	received	n/a	prd§4	-	f474	backlog gains a note
g259	Gap	received	n/a	prd§5	-	f477	backlog gains a note
g260	Gap	received	n/a	prd§5	-	f480	backlog gains a note
g261	Gap	received	n/a	prd§5	-	f481	backlog gains a note
g262	Gap	received	n/a	prd§5	-	f483	backlog gains a note
g263	Gap	received	n/a	prd§5	-	f485	backlog gains a note
g264	Gap	received	n/a	prd§7-jtbd-02	-	f489	backlog gains a note
g265	Gap	received	n/a	prd§7-jtbd-03	-	f490	backlog gains a note
g266	Gap	received	n/a	prd§7-jtbd-05	-	f492	backlog gains a note
g267	Gap	received	n/a	prd§7-jtbd-06	-	f493	backlog gains a note
g268	Gap	received	n/a	prd§9	-	f496	backlog gains a note
g269	Gap	received	n/a	prd§9	-	f498	backlog gains a note
g270	Gap	received	n/a	prd§10	-	f499	backlog gains a note
g271	Gap	received	n/a	prd§10	-	f501	backlog gains a note
g272	Gap	received	n/a	prd§10	-	f504	backlog gains a note
g273	Gap	received	n/a	prd§10	-	f506	backlog gains a note
g274	Gap	received	n/a	prd§10	-	f508	backlog gains a note
g275	Gap	received	n/a	prd§10	-	f509	backlog gains a note
g276	Gap	received	n/a	prd§10	-	f510	backlog gains a note
g277	Gap	received	n/a	prd§10	-	f511	backlog gains a note
g278	Gap	received	n/a	prd§10	-	f513	backlog gains a note
g279	Gap	received	n/a	prd§10	-	f514	backlog gains a note
g280	Gap	received	n/a	prd§10	-	f516	backlog gains a note
g281	Gap	received	n/a	prd§10	-	f519	backlog gains a note
g282	Gap	received	n/a	prd§10	-	f520	backlog gains a note
g283	Gap	received	n/a	prd§11	-	f522	backlog gains a note
g284	Gap	received	n/a	prd§11	-	f523	backlog gains a note
g285	Gap	received	n/a	prd§11	-	f524	backlog gains a note
g286	Gap	received	n/a	prd§11	-	f527	backlog gains a note
g287	Gap	received	n/a	prd§11	-	f528	backlog gains a note
g288	Gap	received	n/a	prd§11	-	f530	backlog gains a note
g289	Gap	received	n/a	prd§11	-	f531	backlog gains a note
g290	Gap	received	n/a	prd§11	-	f532	backlog gains a note
g291	Gap	received	n/a	prd§11	-	f533	backlog gains a note
g292	Gap	received	n/a	prd§11	-	f535	backlog gains a note
g293	Gap	received	n/a	prd§11	-	f539	backlog gains a note
g294	Gap	received	n/a	prd§11	-	f540	backlog gains a note
g295	Gap	received	n/a	prd§11	-	f544	backlog gains a note
g296	Gap	received	n/a	prd§11	-	f545	backlog gains a note
g297	Gap	received	n/a	prd§12	-	f550	backlog gains a note
g298	Gap	received	n/a	prd§12	-	f551	backlog gains a note
g299	Gap	received	n/a	prd§12	-	f552	backlog gains a note
g300	Gap	received	n/a	prd§12	-	f555	backlog gains a note
g301	Gap	received	n/a	prd§12	-	f556	backlog gains a note
g302	Gap	received	n/a	prd§12	-	f557	backlog gains a note
g303	Gap	received	n/a	prd§12	-	f558	backlog gains a note
g304	Gap	received	n/a	prd§12	-	f559	backlog gains a note
g305	Gap	received	n/a	prd§12	-	f560	backlog gains a note
g306	Gap	received	n/a	prd§12	-	f561	backlog gains a note
g307	Gap	received	n/a	prd§12	-	f562	backlog gains a note
g308	Gap	received	n/a	prd§12	-	f563	backlog gains a note
g309	Gap	received	n/a	prd§12	-	f564	backlog gains a note
g310	Gap	received	n/a	prd§12	-	f565	backlog gains a note
g311	Gap	received	n/a	prd§12	-	f566	backlog gains a note
g312	Gap	received	n/a	prd§12	-	f567	backlog gains a note
g313	Gap	received	n/a	prd§12	-	f568	backlog gains a note
g314	Gap	received	n/a	prd§12	-	f569	backlog gains a note
g315	Gap	received	n/a	prd§13	-	f571	backlog gains a note
g316	Gap	received	n/a	prd§13	-	f572	backlog gains a note
g317	Gap	received	n/a	prd§13	-	f575	backlog gains a note
g318	Gap	received	n/a	prd§13	-	f576	backlog gains a note
g319	Gap	received	n/a	prd§13	-	f577	backlog gains a note
g320	Gap	received	n/a	prd§14	-	f580	backlog gains a note
g321	Gap	received	n/a	prd§14	-	f581	backlog gains a note
g322	Gap	received	n/a	prd§14	-	f582	backlog gains a note
g323	Gap	received	n/a	prd§14	-	f583	backlog gains a note
g324	Gap	received	n/a	prd§15	-	f587	backlog gains a note
g325	Gap	received	n/a	prd§15	-	f588	backlog gains a note
g326	Gap	received	n/a	prd§15	-	f589	backlog gains a note
g327	Gap	received	n/a	prd§15	-	f590	backlog gains a note
g328	Gap	received	n/a	prd§15	-	f591	backlog gains a note
g329	Gap	received	n/a	prd§15	-	f592	backlog gains a note
g330	Gap	received	n/a	prd§16	-	f593	backlog gains a note
g331	Gap	received	n/a	prd§16	-	f594	backlog gains a note
g332	Gap	received	n/a	prd§16	-	f595	backlog gains a note
g333	Gap	received	n/a	prd§16	-	f596	backlog gains a note
g334	Gap	received	n/a	prd§16	-	f597	backlog gains a note
g335	Gap	received	n/a	prd§16	-	f598	backlog gains a note
g336	Gap	received	n/a	prd§16	-	f599	backlog gains a note
g337	Gap	received	n/a	prd§16	-	f600	backlog gains a note
g338	Gap	received	n/a	prd§16	-	f601	backlog gains a note
g339	Gap	received	n/a	prd§16	-	f602	backlog gains a note
g340	Gap	received	n/a	prd§16	-	f603	backlog gains a note
g341	Gap	received	n/a	prd§16	-	f604	backlog gains a note
g342	Gap	received	n/a	prd§16	-	f605	backlog gains a note
g343	Gap	received	n/a	prd§16	-	f606	backlog gains a note
g344	Gap	received	n/a	prd§17	-	f613	backlog gains a note
g345	Gap	received	n/a	prd§17	-	f615	backlog gains a note
g346	Gap	received	n/a	prd§17	-	f616	backlog gains a note
g347	Gap	received	n/a	prd§18	-	f617	backlog gains a note
g348	Gap	received	n/a	prd§18	-	f618	backlog gains a note
g349	Gap	received	n/a	prd§18	-	f619	backlog gains a note
g350	Gap	received	n/a	prd§18	-	f622	backlog gains a note
g351	Gap	received	n/a	prd§18	-	f623	backlog gains a note
g352	Gap	received	n/a	prd§18	-	f625	backlog gains a note
g353	Gap	received	n/a	prd§18	-	f626	backlog gains a note
g354	Gap	received	n/a	prd§18	-	f627	backlog gains a note
g355	Gap	received	n/a	prd§20.3	-	f630	backlog gains a note
g356	Gap	received	n/a	prd§20.7	-	f634	backlog gains a note
